filename    filesize    num_reads   time
EY_V2S_Plate2_F7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  14M    334861
KE_V1L_Plate2_G12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 15M    356817
TV_V5L_Plate2_F12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 15M    289517
KE_V10L_Plate2_B8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 16M    344592
CB_V3G_Plate1_E10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 16M    350559
TH_V3L_Plate3_A2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  19M    437777
SC_V1B_Plate1_H3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  21M    409525
SC_V2L_Plate1_H8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  21M    411271
KE_T2_Plate4_A11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  22M    469814
AB_V3L_Plate4_H1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  22M    555696
DN_V4L_Plate4_H6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  23M    562909
DN_V1L_Plate3_C10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 24M    499403
SC_V7B_Plate4_H7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  24M    468687
WH_V1B_Plate3_D11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 24M    518666
DN_V5B_Plate2_G10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 25M    552273
SC_V7G_Plate4_G6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  25M    537306
DN_V3G_Plate4_E11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 25M    511877
RE_V4G_Plate2_A6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  27M    530832
AB_V2S_Plate2_B3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  27M    547746
EY_V5B_Plate3_C6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  28M    588849
BK_V4G_Plate2_B10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 29M    575591
DS_V3S_Plate3_C5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  29M    656397
DS_V5L_Plate4_D4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  31M    802516
SC_V7S_Plate2_H10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 32M    707894
CH_T1_Plate4_A3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   32M    655276
CH_V5B_Plate3_B1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  33M    681775
TH_V4L_Plate3_C9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  35M    751637
TV_V5G_Plate1_G10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 36M    844512
PC_V4B_Plate3_G3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  36M    713234
WH_V1S_Plate2_G6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  37M    721331
DS_T1_Plate1_D1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   37M    772946
SC_V5G_Plate2_B12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 38M    941475
AB_V4L_Plate4_G3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  38M    968724
TH_V4L_Plate2_C9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  39M    870024
KE_V9B_Plate3_D1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  40M    895489
DS_V3S_Plate2_C5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  42M    958590
TV_V5B_Plate3_B6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  43M    920772
CH_V4S_Plate3_H9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  46M    916033
CB_V3S_Plate3_D6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  46M    1063468
DS_V2B_Plate1_A9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  48M    973462
KE_V5G_Plate3_B4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  48M    1069966
WH_V5G_Plate1_D6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  49M    1085889
CH_T3_Plate4_A4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   49M    1099538
KE_V3G_Plate2_E8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  50M    1025539
RE_V2B_Plate2_G4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  50M    1173696
BK_V2L_Plate4_D1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  51M    1316088
KE_V5B_Plate3_C11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 51M    1114841
KE_V5G_Plate2_B4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  52M    1028773
